Canton;Classes d'âge par étapes de 5 ans;Nationalité;Chômeurs inscrits
Soleure;45-49 ans;Suisses;219
Soleure;45-49 ans;Total;391
Soleure;50-54 ans;Etrangers;168
Soleure;50-54 ans;Suisses;267
Soleure;50-54 ans;Total;435
Soleure;55-59 ans;Etrangers;145
Soleure;55-59 ans;Suisses;274
Soleure;55-59 ans;Total;419
Soleure;60 ans et plus;Etrangers;105
Soleure;60 ans et plus;Suisses;257
Soleure;60 ans et plus;Total;362
Soleure;Total;;3 900
Bâle-Ville;15-19 ans;Etrangers;33
Bâle-Ville;15-19 ans;Suisses;55
Bâle-Ville;15-19 ans;Total;88
Bâle-Ville;20-24 ans;Etrangers;102
Bâle-Ville;20-24 ans;Suisses;155
Bâle-Ville;20-24 ans;Total;257
Bâle-Ville;25-29 ans;Etrangers;223
Bâle-Ville;25-29 ans;Suisses;265
Bâle-Ville;25-29 ans;Total;488
Bâle-Ville;30-34 ans;Etrangers;323
Bâle-Ville;30-34 ans;Suisses;259
Bâle-Ville;30-34 ans;Total;582
Bâle-Ville;35-39 ans;Etrangers;344
Bâle-Ville;35-39 ans;Suisses;169
Bâle-Ville;35-39 ans;Total;513
Bâle-Ville;40-44 ans;Etrangers;262
Bâle-Ville;40-44 ans;Suisses;137
Bâle-Ville;40-44 ans;Total;399
Bâle-Ville;45-49 ans;Etrangers;205
Bâle-Ville;45-49 ans;Suisses;142
Bâle-Ville;45-49 ans;Total;347
Bâle-Ville;50-54 ans;Etrangers;161
Bâle-Ville;50-54 ans;Suisses;176
Bâle-Ville;50-54 ans;Total;337
Bâle-Ville;55-59 ans;Etrangers;126
Bâle-Ville;55-59 ans;Suisses;166
Bâle-Ville;55-59 ans;Total;292
Bâle-Ville;60 ans et plus;Etrangers;82
Bâle-Ville;60 ans et plus;Suisses;129
Bâle-Ville;60 ans et plus;Total;211
Bâle-Ville;Total;;3 514
Bâle-Campagne;15-19 ans;Etrangers;22
Bâle-Campagne;15-19 ans;Suisses;51
Bâle-Campagne;15-19 ans;Total;73
Bâle-Campagne;20-24 ans;Etrangers;120
Bâle-Campagne;20-24 ans;Suisses;299
Bâle-Campagne;20-24 ans;Total;419
Bâle-Campagne;25-29 ans;Etrangers;219
Bâle-Campagne;25-29 ans;Suisses;324
Bâle-Campagne;25-29 ans;Total;543
Bâle-Campagne;30-34 ans;Etrangers;259
Bâle-Campagne;30-34 ans;Suisses;268
Bâle-Campagne;30-34 ans;Total;527
Bâle-Campagne;35-39 ans;Etrangers;231
Bâle-Campagne;35-39 ans;Suisses;237
Bâle-Campagne;35-39 ans;Total;468
Bâle-Campagne;40-44 ans;Etrangers;219
Bâle-Campagne;40-44 ans;Suisses;198
Bâle-Campagne;40-44 ans;Total;417
Bâle-Campagne;45-49 ans;Etrangers;186
Bâle-Campagne;45-49 ans;Suisses;271
Bâle-Campagne;45-49 ans;Total;457
Bâle-Campagne;50-54 ans;Etrangers;151
Bâle-Campagne;50-54 ans;Suisses;310
Bâle-Campagne;50-54 ans;Total;461
Bâle-Campagne;55-59 ans;Etrangers;131
Bâle-Campagne;55-59 ans;Suisses;318
Bâle-Campagne;55-59 ans;Total;449
Bâle-Campagne;60 ans et plus;Etrangers;74
Bâle-Campagne;60 ans et plus;Suisses;263
Bâle-Campagne;60 ans et plus;Total;337
Bâle-Campagne;Total;;4 151
Schaffhouse;15-19 ans;Etrangers;36
Schaffhouse;15-19 ans;Suisses;46
Schaffhouse;15-19 ans;Total;82
Schaffhouse;20-24 ans;Etrangers;50
Schaffhouse;20-24 ans;Suisses;104
Schaffhouse;20-24 ans;Total;154
Schaffhouse;25-29 ans;Etrangers;71
Schaffhouse;25-29 ans;Suisses;88
Schaffhouse;25-29 ans;Total;159
Schaffhouse;30-34 ans;Etrangers;83
Schaffhouse;30-34 ans;Suisses;71
Schaffhouse;30-34 ans;Total;154
Schaffhouse;35-39 ans;Etrangers;89
Schaffhouse;35-39 ans;Suisses;56
Schaffhouse;35-39 ans;Total;145
Schaffhouse;40-44 ans;Etrangers;81
Schaffhouse;40-44 ans;Suisses;57
Schaffhouse;40-44 ans;Total;138
Schaffhouse;45-49 ans;Etrangers;74
Schaffhouse;45-49 ans;Suisses;62
Schaffhouse;45-49 ans;Total;136
Schaffhouse;50-54 ans;Etrangers;64
Schaffhouse;50-54 ans;Suisses;86
Schaffhouse;50-54 ans;Total;150
Schaffhouse;55-59 ans;Etrangers;41
Schaffhouse;55-59 ans;Suisses;79
Schaffhouse;55-59 ans;Total;120
Schaffhouse;60 ans et plus;Etrangers;32
Schaffhouse;60 ans et plus;Suisses;52
Schaffhouse;60 ans et plus;Total;84
Schaffhouse;Total;;1 322
Appenzell Rhodes-Extérieures;15-19 ans;Etrangers;0
Appenzell Rhodes-Extérieures;15-19 ans;Suisses;11
Appenzell Rhodes-Extérieures;15-19 ans;Total;11
Appenzell Rhodes-Extérieures;20-24 ans;Etrangers;8
Appenzell Rhodes-Extérieures;20-24 ans;Suisses;31
